Question_ID,Dimension,Type,Question,Option_A,Option_B,Option_C,Option_D
q11,E3 (Boundaries & Dependency),Main,"After getting into a relationship, your partner turns out to be extremely clingy. How do you feel?","That sounds amazing.","Either way is fine — I don't really mind.","I prefer to keep my own independent space.",
q12,E3 (Boundaries & Dependency),Main,"In any relationship, I place a high value on my personal space.","I prefer to rely on others and be relied upon.","It depends.","Yes! (said without hesitation)",
q13,A1 (Worldview),Main,"Most people are good at heart.","Honestly, there are more evil hearts in the world than hemorrhoids.","Maybe.","Yes — I choose to believe there are more good people.",
q14,A1 (Worldview),Main,"[Scenario] You're walking down the street when an adorably cute little girl bounces over to you and hands you a lollipop. What do you think?","Aww, she's so sweet and cute! She actually gave me a lollipop!","Completely baffled — just standing there scratching your head.","Is this some new kind of scam? Better walk away.",
q15,A2 (Rules & Flexibility),Main,"Exams are coming up. School rules say you must attend evening study hall — skipping gets points docked. But tonight you arranged with your crush to play PUBG Mobile. What do you do?","Skip it! It's only once anyway!","I'll just ask for the day off.","Exams are literally around the corner — what am I even thinking?",
q16,A2 (Rules & Flexibility),Main,"I like breaking the rules and don't like being constrained.","Agree","Neutral","Disagree",
q17,A3 (Sense of Meaning),Main,"I usually have a clear goal when I do things.","Disagree","Neutral","Agree",
q18,A3 (Sense of Meaning),Main,"[Scenario] One day you suddenly realize: life has absolutely no meaning. People are no different from animals — purely driven by desires, completely controlled by hormones. We eat when hungry, sleep when tired, and mate when aroused. We're basically indistinguishable from pigs and dogs.","That's exactly right.","Maybe, maybe not.","That's complete nonsense.",
q19,Ac1 (Motivational Drive),Main,"I do things mainly to achieve results and progress — not to avoid trouble and risk.","Disagree","Neutral","Agree",
q20,Ac1 (Motivational Drive),Main,"[Scenario] You've been constipated on the toilet for 30 minutes with no luck. At this moment, which are you most like?","Sit for another 30 minutes and see — maybe something will happen.","Slap your own butt and shout: 'Come on, hurry up!'","Use a suppository — better to get it out fast.",
q21,Ac2 (Decision Style),Main,"I make decisions decisively and don't like to hesitate.","Disagree","Neutral","Agree",
q22,Ac2 (Decision Style),Main,"This question has no prompt. Please choose blindly.","After lots of deliberation, maybe A?","Hmm... should I go with B?","When in doubt, just pick C?",
q23,Ac3 (Execution Mode),Main,"When others say you have 'strong execution ability,' which resonates more?","I really only kick into high gear when pushed to the absolute last minute...","Hmm, sometimes, I guess.","Yes — things just need to get done.",
q24,Ac3 (Execution Mode),Main,"I usually make plans when I do things, ____","...but plans never survive contact with reality.","...sometimes I follow through, sometimes I don't.","...and I absolutely hate it when plans fall apart.",
q25,So1 (Social Initiative),Main,"You made a lot of online friends through playing Identity V and are invited to meet offline. What do you think?","Talking online is enough — actually meeting feels a bit nerve-wracking.","Meeting online friends is fine; I'll chat with whoever shows up.","I'd dress up and chat enthusiastically — hey, you never know, right?",
q26,So1 (Social Initiative),Main,"Your friend brings their own friend along to hang out. What's your most likely reaction?","I feel a natural distance toward 'a friend's friend' — worried it'll be awkward.","See how it goes — if we click, we hang.","A friend's friend is basically my friend too! Time to be warm and enthusiastic!",
q27,So2 (Interpersonal Boundaries),Main,"I deal with people like I have an electric fence — if someone gets too close, the alarm automatically goes off.","Agree","Neutral","Disagree",
q28,So2 (Interpersonal Boundaries),Main,"I long to be really close to people I trust — as comfortable as long-lost family.","Agree","Neutral","Disagree",
q29,So3 (Authenticity & Expression),Main,"Sometimes you clearly have a different, negative view on something — but in the end you don't say it. In most cases, the reason is:","This rarely happens to me.","Probably out of social courtesy or to protect the relationship.","I don't want people to think I'm a dark or negative person.",
q30,So3 (Authenticity & Expression),Main,"I show different sides of myself to different people.","Disagree","Neutral","Agree",
drink_gate_q1,Special Trigger,Special (Hidden Branch),"What are your hobbies?","Eating, drinking, and daily living","Arts and creative hobbies","Drinking alcohol","Fitness"
drink_gate_q2,Special Trigger,Special (Hidden Branch — triggers if you chose 'Drinking alcohol' in the previous question),"What is your attitude toward drinking?","A little is fine — I can't handle too much.","I fill my thermos with baijiu and drink it like plain water. Alcohol has my full loyalty.",,
